Domain,Type,TLD Manager,RDAP URLs
.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",https://rdap.nominet.uk/bbva/
.bcg,generic,"The Boston Consulting Group, Inc.",https://rdap.identitydigital.services/rdap/
.bcn,generic,Municipi de Barcelona,https://rdap.nic.bcn/
.bd,country-code,Posts and Telecommunications Division,
.be,country-code,DNS Belgium vzw/asbl,
.beats,generic,"Beats Electronics, LLC",https://rdap.identitydigital.services/rdap/
.beauty,generic,XYZ.COM LLC,https://rdap.centralnic.com/beauty/
.beer,generic,"Registry Services, LLC",https://rdap.nic.beer/
.bentley,generic,Not assigned,
.berlin,generic,dotBERLIN GmbH & Co. KG,https://rdap.nic.berlin/v1/
.best,generic,BestTLD Pty Ltd,https://rdap.centralnic.com/best/
.bestbuy,generic,"BBY Solutions, Inc.",https://rdap.identitydigital.services/rdap/
.bet,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.bf,country-code,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP),
.bg,country-code,Register.BG,
.bh,country-code,Telecommunications Regulatory Authority (TRA),
.bharti,generic,Bharti Enterprises (Holding) Private Limited,https://tld-rdap.verisign.com/bharti/v1/
.bi,country-code,Centre National de l'Informatique,
.bible,generic,American Bible Society,https://rdap.nic.bible/
.bid,generic,dot Bid Limited,https://rdap.nic.bid/
.bike,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.bing,generic,Microsoft Corporation,https://rdap.nominet.uk/bing/
.bingo,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.bio,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.biz,generic-restricted,"Registry Services, LLC",https://rdap.nic.biz/
.bj,country-code,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN),
.bl,country-code,Not assigned,
.black,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.blackfriday,generic,"Registry Services, LLC",https://rdap.nic.blackfriday/
.blanco,generic,Not assigned,
.blockbuster,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.blog,generic,"Knock Knock WHOIS There, LLC",https://rdap.blog.fury.ca/rdap/
.bloomberg,generic,Bloomberg IP Holdings LLC,https://rdap.identitydigital.services/rdap/
.blue,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.bm,country-code,"Registry General Department, Ministry of Home Affairs",https://rdap.identitydigital.services/rdap/
.bms,generic,Bristol-Myers Squibb Company,https://rdap.identitydigital.services/rdap/
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,https://rdap.centralnic.com/bmw/
.bn,country-code,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),
.bnl,generic,Not assigned,
.bnpparibas,generic,BNP Paribas,https://rdap.identitydigital.services/rdap/
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,
.boats,generic,XYZ.COM LLC,https://rdap.centralnic.com/boats/
.boehringer,generic,Boehringer Ingelheim International GmbH,https://rdap.identitydigital.services/rdap/
.bofa,generic,Bank of America Corporation,https://rdap.identitydigital.services/rdap/
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,https://rdap.gtlds.nic.br/
.bond,generic,Shortdot SA,https://rdap.centralnic.com/bond/
.boo,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.book,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/book/
.booking,generic,Booking.com B.V.,https://rdap.nic.booking/
.boots,generic,Not assigned,
.bosch,generic,Robert Bosch GMBH,https://rdap.identitydigital.services/rdap/
.bostik,generic,Bostik SA,https://rdap.nic.bostik/
.boston,generic,"Registry Services, LLC",https://rdap.nic.boston/
.bot,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/bot/
.boutique,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.box,generic,Intercap Registry Inc.,https://rdap.centralnic.com/box/
.bq,country-code,Not assigned,
.br,country-code,Comite Gestor da Internet no Brasil,https://rdap.registro.br/
.bradesco,generic,Banco Bradesco S.A.,https://rdap.identitydigital.services/rdap/
.bridgestone,generic,Bridgestone Corporation,https://rdap.gmoregistry.net/rdap/
.broadway,generic,"Celebrate Broadway, Inc.",https://rdap.nominet.uk/broadway/
.broker,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.brother,generic,"Brother Industries, Ltd.",https://rdap.gmoregistry.net/rdap/
.brussels,generic,DNS.be vzw,https://rdap.nic.brussels/
.bs,country-code,University of The Bahamas,
.bt,country-code,Ministry of Information and Communications,
.budapest,generic,Not assigned,
.bugatti,generic,Not assigned,
.build,generic,Plan Bee LLC,https://rdap.centralnic.com/build/
.builders,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.business,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.buy,generic,"Amazon Registry Services, INC",https://rdap.nominet.uk/buy/
.buzz,generic,DOTSTRATEGY CO.,https://rdap.nic.buzz/
.bv,country-code,Norid A/S,
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA),
.by,country-code,Belarusian Cloud Technologies LLC,
.bz,country-code,University of Belize,
.bzh,generic,Association www.bzh,https://rdap.nic.bzh/
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),https://rdap.ca.fury.ca/rdap/
.cab,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cafe,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cal,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.call,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/call/
.calvinklein,generic,PVH gTLD Holdings LLC,https://rdap.nic.calvinklein/
.cam,generic,CAM Connecting SARL,https://rdap.centralnic.com/cam/
.camera,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.camp,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.cancerresearch,generic,Not assigned,
.canon,generic,Canon Inc.,https://rdap.gmoregistry.net/rdap/
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,https://rdap.nic.capetown/rdap/
.capital,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.capitalone,generic,Capital One Financial Corporation,https://rdap.nic.capitalone/
