Domain,Type,TLD Manager,RDAP URLs
.mba,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.mc,country-code,Direction des Plateformes et des Ressources Numériques,
.mcd,generic,Not assigned,
.mcdonalds,generic,Not assigned,
.mckinsey,generic,"McKinsey Holdings, Inc.",https://rdap.identitydigital.services/rdap/
.md,country-code,IP Serviciul Tehnologia Informatiei si Securitate Cibernetica,
.me,country-code,Government of Montenegro,
.med,generic,Medistry LLC,https://rdap.nominet.uk/med/
.media,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.meet,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",https://rdap.nic.melbourne/
.meme,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.memorial,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.men,generic,Exclusive Registry Limited,https://rdap.nic.men/
.menu,generic,Dot Menu Registry LLC,https://rdap.nic.menu/
.meo,generic,Not assigned,
.merckmsd,generic,"MSD Registry Holdings, Inc.",https://rdap.nic.merckmsd/
.metlife,generic,Not assigned,
.mf,country-code,Not assigned,
.mg,country-code,NIC-MG (Network Information Center Madagascar),http://rdap.nic.mg/
.mh,country-code,Office of the Cabinet,
.miami,generic,"Registry Services, LLC",https://rdap.nic.miami/
.microsoft,generic,Microsoft Corporation,https://rdap.nominet.uk/microsoft/
.mil,sponsored,DoD Network Information Center,
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,https://rdap.centralnic.com/mini/
.mint,generic,"Intuit Administrative Services, Inc.",https://rdap.nic.mint/
.mit,generic,Massachusetts Institute of Technology,https://rdap.identitydigital.services/rdap/
.mitsubishi,generic,Mitsubishi Corporation,https://rdap.gmoregistry.net/rdap/
.mk,country-code,Macedonian Academic Research Network Skopje,
.ml,country-code,Agence des Technologies de l’Information et de la Communication,https://rdap.nic.ml/
.mlb,generic,"MLB Advanced Media DH, LLC",https://rdap.nic.mlb/
.mls,generic,The Canadian Real Estate Association,https://rdap.mls.fury.ca/rdap/
.mm,country-code,Ministry of Transport and Communications,
.mma,generic,MMA IARD,https://rdap.nic.mma/
.mn,country-code,"Datacom Co., Ltd.",
.mo,country-code,Macao Post and Telecommunications Bureau (CTT),
.mobi,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.mobile,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.mobily,generic,Not assigned,
.moda,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.moe,generic,Interlink Systems Innovation Institute K.K.,https://rdap.nic.moe/
.moi,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/moi/
.mom,generic,XYZ.COM LLC,https://rdap.centralnic.com/mom/
.monash,generic,Monash University,https://rdap.nic.monash/
.money,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.monster,generic,XYZ.COM LLC,https://rdap.centralnic.com/monster/
.montblanc,generic,Not assigned,
.mopar,generic,Not assigned,
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",https://rdap.identitydigital.services/rdap/
.mortgage,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),https://rdap.flexireg.net/
.moto,generic,"Motorola Trademark Holdings, LLC",https://rdap.nic.moto/
.motorcycles,generic,XYZ.COM LLC,https://rdap.centralnic.com/motorcycles/
.mov,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.movie,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.movistar,generic,Not assigned,
.mp,country-code,"Saipan Datacom, Inc.",
.mq,country-code,CANAL+ TELECOM,
.mr,country-code,Université de Nouakchott Al Aasriya,
.ms,country-code,MNI Networks Ltd.,https://rdap.nic.ms/
.msd,generic,"MSD Registry Holdings, Inc.",https://rdap.nic.msd/
.mt,country-code,NIC (Malta),
.mtn,generic,MTN Dubai Limited,https://rdap.nominet.uk/mtn/
.mtpc,generic,Not assigned,
.mtr,generic,MTR Corporation Limited,https://whois.nic.mtr/rdap/
.mu,country-code,Internet Direct Ltd,https://rdap.identitydigital.services/rdap/
.museum,sponsored,Museum Domain Management Association,https://rdap.nic.museum/
.music,generic,DotMusic Limited,https://rdap.registryservices.music/rdap/
.mutual,generic,Not assigned,
.mutuelle,generic,Not assigned,
.mv,country-code,Dhivehi Raajjeyge Gulhun PLC,
.mw,country-code,Malawi Sustainable Development Network Programme (Malawi SDNP),
.mx,country-code,"NIC-Mexico
ITESM - Campus Monterrey",
.my,country-code,MYNIC Berhad,
.mz,country-code,Centro de Informatica de Universidade Eduardo Mondlane,
.na,country-code,Namibian Network Information Center,https://keetmans.omadhina.co.na/
.nab,generic,National Australia Bank Limited,https://rdap.identitydigital.services/rdap/
.nadex,generic,Not assigned,
.nagoya,generic,"GMO Registry, Inc.",https://rdap.gmoregistry.net/rdap/
.name,generic-restricted,"VeriSign Information Services, Inc.",https://tld-rdap.verisign.com/name/v1/
.nationwide,generic,Not assigned,
.natura,generic,Not assigned,
.navy,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.nba,generic,"NBA REGISTRY, LLC",https://rdap.nic.nba/
.nc,country-code,Office des Postes et Telecommunications,
.ne,country-code,SONITEL,
.nec,generic,NEC Corporation,https://rdap.gmoregistry.net/rdap/
.net,generic,VeriSign Global Registry Services,https://rdap.verisign.com/net/v1/
.netbank,generic,COMMONWEALTH BANK OF AUSTRALIA,https://rdap.nic.netbank/
.netflix,generic,"Netflix, Inc.",https://rdap.nic.netflix/
.network,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.neustar,generic,"NeuStar, Inc.",https://rdap.nic.neustar/
.new,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.newholland,generic,Not assigned,
.news,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.next,generic,Next plc,https://rdap.identitydigital.services/rdap/
.nextdirect,generic,Next plc,https://rdap.identitydigital.services/rdap/
.nexus,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.nf,country-code,Norfolk Island Data Services,https://rdap.nic.nf/
.nfl,generic,NFL Reg Ops LLC,https://rdap.nic.nfl/
.ng,country-code,Nigeria Internet Registration Association,
.ngo,generic,Public Interest Registry,https://rdap.publicinterestregistry.org/rdap/
.nhk,generic,Japan Broadcasting Corporation (NHK),https://rdap.gmoregistry.net/rdap/
.ni,country-code,Universidad Nacional del Ingernieria. Division de Tecnologias de la Informacion.,
.nico,generic,"DWANGO Co., Ltd.",https://rdap.gmoregistry.net/rdap/
.nike,generic,"NIKE, Inc.",https://rdap.nic.nike/
.nikon,generic,NIKON CORPORATION,https://rdap.identitydigital.services/rdap/
.ninja,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.nissan,generic,"NISSAN MOTOR CO., LTD.",https://rdap.gmoregistry.net/rdap/
.nissay,generic,Nippon Life Insurance Company,https://tld-rdap.verisign.com/nissay/v1/
.nl,country-code,SIDN (Stichting Internet Domeinregistratie Nederland),https://rdap.sidn.nl/
.no,country-code,Norid A/S,https://rdap.norid.no/
.nokia,generic,Nokia Corporation,https://rdap.centralnic.com/nokia/
.northwesternmutual,generic,Not assigned,
.norton,generic,Gen Digital Inc.,https://rdap.nic.norton/
.now,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/now/
.nowruz,generic,Emergency Back-End Registry Operator Program - ICANN,https://rdap.nominet.uk/nowruz/
.nowtv,generic,Starbucks (HK) Limited,https://rdap.identitydigital.services/rdap/
.np,country-code,Mercantile Communications Pvt. Ltd.,
.nr,country-code,CENPAC NET,
.nra,generic,"NRA Holdings Company, INC.",https://rdap.identitydigital.services/rdap/
.nrw,generic,Minds + Machines GmbH,https://rdap.nic.nrw/
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,https://rdap.nic.ntt/rdap/
.nu,country-code,The IUSN Foundation,
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,https://rdap.nic.nyc/
.nz,country-code,InternetNZ,
.obi,generic,OBI Group Holding SE & Co. KGaA,https://rdap.identitydigital.services/rdap/
.observer,generic,"Fegistry, LLC",https://rdap.registry.click/rdap/
.off,generic,Not assigned,
.office,generic,Microsoft Corporation,https://rdap.nominet.uk/office/
.okinawa,generic,"BRregistry, Inc.",https://rdap.gmoregistry.net/rdap/
.olayan,generic,Competrol (Luxembourg) Sarl,https://rdap.nic.olayan/
.olayangroup,generic,Competrol (Luxembourg) Sarl,https://rdap.nic.olayangroup/
.oldnavy,generic,Not assigned,
.ollo,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.om,country-code,Telecommunications Regulatory Authority (TRA),
.omega,generic,The Swatch Group Ltd,https://rdap.nominet.uk/omega/
.one,generic,One.com A/S,https://rdap.nic.one/
.ong,generic,Public Interest Registry,https://rdap.publicinterestregistry.org/rdap/
.onl,generic,iRegistry GmbH,https://rdap.identitydigital.services/rdap/
.online,generic,Radix Technologies Inc. SEZC,https://rdap.centralnic.com/online/
.onyourside,generic,Not assigned,
.ooo,generic,INFIBEAM AVENUES LIMITED,https://rdap.centralnic.com/ooo/
.open,generic,"American Express Travel Related Services Company, Inc.",https://rdap.nic.open/
.oracle,generic,Oracle Corporation,https://rdap.identitydigital.services/rdap/
.orange,generic,Orange Brand Services Limited,https://rdap.identitydigital.services/rdap/
.org,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/
.organic,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.orientexpress,generic,Not assigned,
.origins,generic,The Estée Lauder Companies Inc.,https://rdap.identitydigital.services/rdap/
.osaka,generic,"Osaka Registry Co., Ltd.",https://rdap.nic.osaka/
.otsuka,generic,"Otsuka Holdings Co., Ltd.",https://rdap.gmoregistry.net/rdap/
.ott,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.ovh,generic,OVH SAS,https://rdap.nic.ovh/
.pa,country-code,Universidad Tecnologica de Panama,
.page,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.pamperedchef,generic,Not assigned,
.panasonic,generic,Panasonic Corporation,https://rdap.gmoregistry.net/rdap/
.panerai,generic,Not assigned,
.paris,generic,City of Paris,https://rdap.nic.paris/
.pars,generic,Emergency Back-End Registry Operator Program - ICANN,https://rdap.nominet.uk/pars/
.partners,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.parts,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.party,generic,Blue Sky Registry Limited,https://rdap.nic.party/
.passagens,generic,Not assigned,
.pay,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/pay/
.pccw,generic,PCCW Enterprises Limited,https://rdap.identitydigital.services/rdap/
.pe,country-code,Red Cientifica Peruana,
.pet,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.pf,country-code,Gouvernement de la Polynésie française,
.pfizer,generic,Pfizer Inc.,https://rdap.nic.pfizer/
.pg,country-code,"PNG DNS Administration, Vice Chancellors Office, The Papua New Guinea University of Technology",https://rdap.nic.pg/
.ph,country-code,PH Domain Foundation,
.pharmacy,generic,National Association of Boards of Pharmacy,https://rdap.nominet.uk/pharmacy/
.phd,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.philips,generic,Koninklijke Philips N.V.,https://rdap.nic.philips/
.phone,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/
.photo,generic,"Registry Services, LLC",https://rdap.nic.photo/
.photography,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.photos,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.physio,generic,PhysBiz Pty Ltd,https://rdap.nic.physio/
.piaget,generic,Not assigned,
.pics,generic,XYZ.COM LLC,https://rdap.centralnic.com/pics/
.pictet,generic,Banque Pictet & Cie SA,https://rdap.identitydigital.services/rdap/
.pictures,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.pid,generic,"Top Level Spectrum, Inc.",https://rdap.nic.pid/rdap/
.pin,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/pin/
.ping,generic,"Ping Registry Provider, Inc.",https://rdap.nic.ping/
.pink,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.pioneer,generic,Pioneer Corporation,https://rdap.nominet.uk/pioneer/
.pizza,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.pk,country-code,PKNIC,
.pl,country-code,Research and Academic Computer Network,https://rdap.dns.pl/
.place,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.play,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.playstation,generic,Sony Computer Entertainment Inc.,https://rdap.gmoregistry.net/rdap/
.plumbing,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.plus,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.pm,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),https://rdap.nic.pm/
.pn,country-code,Pitcairn Island Administration,https://rdap.nominet.uk/pn/
.pnc,generic,"PNC Domain Co., LLC",https://rdap.identitydigital.services/rdap/
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,https://rdap.centralnic.com/pohl/
.poker,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.politie,generic,Politie Nederland,https://rdap.nic.politie/
.porn,generic,ICM Registry PN LLC,https://rdap.nic.porn/
.post,sponsored,Universal Postal Union,https://rdap.identitydigital.services/rdap/
.pr,country-code,Gauss Research Laboratory Inc.,
.pramerica,generic,Not assigned,
.praxi,generic,Praxi S.p.A.,https://rdap.nic.praxi/
.press,generic,Radix Technologies Inc.,https://rdap.centralnic.com/press/
.prime,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/prime/
.pro,generic-restricted,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.prod,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.productions,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.prof,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.progressive,generic,Progressive Casualty Insurance Company,https://rdap.identitydigital.services/rdap/
.promo,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.properties,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.property,generic,Digital Property Infrastructure Limited,https://whois.uniregistry.net/rdap/
.protection,generic,XYZ.COM LLC,https://rdap.centralnic.com/protection/
.pru,generic,"Prudential Financial, Inc.",https://rdap.nic.pru/
.prudential,generic,"Prudential Financial, Inc.",https://rdap.nic.prudential/
.ps,country-code,"Ministry of Telecommunications & Information Technology, Government Computer Center",
.pt,country-code,Associação DNS.PT,
.pub,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.pw,country-code,Micronesia Investment and Development Corporation,https://rdap.centralnic.com/pw/
.pwc,generic,PricewaterhouseCoopers LLP,https://rdap.identitydigital.services/rdap/
.py,country-code,NIC-PY,
.qa,country-code,Communications Regulatory Authority,
.qpon,generic,DOTQPON LLC.,https://rdap.centralnic.com/qpon/
.quebec,generic,PointQuébec Inc,https://rdap.nic.quebec/
.quest,generic,XYZ.COM LLC,https://rdap.centralnic.com/quest/
.qvc,generic,Not assigned,
.racing,generic,Premier Registry Limited,https://rdap.nic.racing/
.radio,generic,European Broadcasting Union (EBU),https://rdap.nic.radio/
.raid,generic,Not assigned,
.re,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),https://rdap.nic.re/
.read,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/read/
.realestate,generic,dotRealEstate LLC,https://rdap.nominet.uk/realestate/
.realtor,generic,Real Estate Domains LLC,https://rdap.nominet.uk/realtor/
.realty,generic,Internet Naming Co.,https://rdap.registry.click/rdap/
.recipes,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.red,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.redstone,generic,Not assigned,
.redumbrella,generic,"Travelers TLD, LLC",https://rdap.identitydigital.services/rdap/
.rehab,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.reise,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.reisen,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",https://rdap.centralnic.com/reit/
.reliance,generic,Reliance Industries Limited,https://rdap.identitydigital.services/rdap/
.ren,generic,ZDNS International Limited,https://rdap.zdnsgtld.com/ren/
.rent,generic,XYZ.COM LLC,https://rdap.centralnic.com/rent/
.rentals,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.repair,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.report,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.republican,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,https://rdap.registry.bar/rdap/
.restaurant,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.review,generic,dot Review Limited,https://rdap.nic.review/
.reviews,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.rexroth,generic,Robert Bosch GMBH,https://rdap.identitydigital.services/rdap/
.rich,generic,iRegistry GmbH,https://rdap.identitydigital.services/rdap/
.richardli,generic,Pacific Century Asset Management (HK) Limited,https://rdap.identitydigital.services/rdap/
.ricoh,generic,"Ricoh Company, Ltd.",https://rdap.gmoregistry.net/rdap/
.rightathome,generic,Not assigned,
.ril,generic,Reliance Industries Limited,https://rdap.identitydigital.services/rdap/
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,https://rdap.gtlds.nic.br/
.rip,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.rmit,generic,Not assigned,
.ro,country-code,National Institute for R&D in Informatics,
.rocher,generic,Not assigned,
.rocks,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.rodeo,generic,"Registry Services, LLC",https://rdap.nic.rodeo/
.rogers,generic,Rogers Communications Canada Inc.,https://rdap.identitydigital.services/rdap/
.room,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/room/
.rs,country-code,Serbian National Internet Domain Registry (RNIDS),
.rsvp,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.ru,country-code,Coordination Center for TLD RU,
.rugby,generic,World Rugby Strategic Developments Limited,https://rdap.nic.rugby/
.ruhr,generic,dotSaarland GmbH,https://rdap.centralnic.com/ruhr/
.run,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.rw,country-code,Rwanda Internet Community and Technology  Alliance (RICTA) Ltd,https://rdap.ricta.org.rw/
.rwe,generic,RWE AG,https://rdap.identitydigital.services/rdap/
.ryukyu,generic,"BRregistry, Inc.",https://rdap.gmoregistry.net/rdap/
.sa,country-code,"Communications, Space and Technology Commission",
.saarland,generic,dotSaarland GmbH,https://rdap.centralnic.com/saarland/
.safe,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/safe/
.safety,generic,"Safety Registry Services, LLC.",https://rdap.nic.safety/
.sakura,generic,SAKURA internet Inc.,https://rdap.nic.sakura/rdap/
.sale,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.salon,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.samsclub,generic,"Wal-Mart Stores, Inc.",https://rdap.nic.samsclub/
.samsung,generic,"SAMSUNG SDS CO., LTD",https://nic.samsung/rdap/
.sandvik,generic,Sandvik AB,https://rdap.nic.sandvik/
.sandvikcoromant,generic,Sandvik AB,https://rdap.nic.sandvikcoromant/
.sanofi,generic,Sanofi,https://rdap.identitydigital.services/rdap/
.sap,generic,SAP AG,https://rdap.nic.sap/
.sapo,generic,Not assigned,
.sarl,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.sas,generic,Research IP LLC,https://rdap.nic.sas/
.save,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/save/
.saxo,generic,Saxo Bank A/S,https://rdap.identitydigital.services/rdap/
.sb,country-code,Solomon Telekom Company Limited,
.sbi,generic,STATE BANK OF INDIA,https://rdap.identitydigital.services/rdap/
.sbs,generic,Shortdot SA,https://rdap.centralnic.com/sbs/
.sc,country-code,VCS Pty Ltd,
.sca,generic,Not assigned,
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",https://rdap.nic.scb/
.schaeffler,generic,Schaeffler Technologies AG & Co. KG,https://rdap.nic.schaeffler/
.schmidt,generic,SCHMIDT GROUPE S.A.S.,https://rdap.nic.schmidt/
.scholarships,generic,"Scholarships.com, LLC",https://rdap.identitydigital.services/rdap/
.school,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.schule,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,https://rdap.centralnic.com/schwarz/
.science,generic,dot Science Limited,https://rdap.nic.science/
.scjohnson,generic,Not assigned,
.scor,generic,Not assigned,
.scot,generic,Dot Scot Registry Limited,https://rdap.nic.scot/
.sd,country-code,Sudan Internet Society,https://rdap.nic.sd/
.se,country-code,The Internet Infrastructure Foundation,
.search,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.seat,generic,"SEAT, S.A. (Sociedad Unipersonal)",https://rdap.nic.seat/
.secure,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/secure/
.security,generic,XYZ.COM LLC,https://rdap.centralnic.com/security/
.seek,generic,Seek Limited,https://rdap.nic.seek/
.select,generic,"Registry Services, LLC",https://rdap.nic.select/
.sener,generic,"Sener Ingeniería y Sistemas, S.A.",https://rdap.identitydigital.services/rdap/
.services,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ses,generic,Not assigned,
.seven,generic,Seven West Media Ltd,https://rdap.nic.seven/
.sew,generic,SEW-EURODRIVE GmbH & Co KG,https://rdap.identitydigital.services/rdap/
.sex,generic,ICM Registry SX LLC,https://rdap.nic.sex/
.sexy,generic,Internet Naming Co.,https://whois.uniregistry.net/rdap/
.sfr,generic,Societe Francaise du Radiotelephone - SFR,https://rdap.centralnic.com/sfr/
.sg,country-code,Singapore Network Information Centre (SGNIC) Pte Ltd,
.sh,country-code,Government of St. Helena,
.shangrila,generic,Shangri-La International Hotel Management Limited,https://rdap.identitydigital.services/rdap/
.sharp,generic,Sharp Corporation,https://rdap.gmoregistry.net/rdap/
.shaw,generic,Not assigned,
.shell,generic,Shell Information Technology International Inc,https://rdap.nominet.uk/shell/
.shia,generic,Emergency Back-End Registry Operator Program - ICANN,https://rdap.nominet.uk/shia/
.shiksha,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.shoes,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.shop,generic,"GMO Registry, Inc.",https://rdap.gmoregistry.net/rdap/
.shopping,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.shouji,generic,QIHOO 360 TECHNOLOGY CO. LTD.,https://rdap.teleinfo.cn/
.show,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.showtime,generic,Not assigned,
.shriram,generic,Not assigned,
.si,country-code,Academic and Research Network of Slovenia (ARNES),https://rdap.register.si/
.silk,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/silk/
.sina,generic,Sina Corporation,https://rdap.identitydigital.services/rdap/
.singles,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.site,generic,Radix Technologies Inc. SEZC,https://rdap.centralnic.com/site/
.sj,country-code,Norid A/S,
.sk,country-code,"SK-NIC, a.s.",
.ski,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.skin,generic,XYZ.COM LLC,https://rdap.centralnic.com/skin/
.sky,generic,Sky UK Limited,https://rdap.nominet.uk/sky/
.skype,generic,Microsoft Corporation,https://rdap.nominet.uk/skype/
.sl,country-code,Sierratel,
.sling,generic,DISH Technologies L.L.C.,https://rdap.mobile-registry.com/rdap/
.sm,country-code,Telecom Italia San Marino S.p.A.,
.smart,generic,"Smart Communications, Inc. (SMART)",https://rdap.centralnic.com/smart/
.smile,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/smile/
.sn,country-code,Universite Cheikh Anta Diop,
.sncf,generic,Société Nationale SNCF,https://rdap.nic.sncf/
.so,country-code,Ministry of Post and Telecommunications,
.soccer,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.social,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.softbank,generic,SoftBank Group Corp.,https://rdap.gmoregistry.net/rdap/
.software,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.sohu,generic,Sohu.com Limited,https://rdap.zdnsgtld.com/sohu/
.solar,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.solutions,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.song,generic,"Amazon Registry Services, Inc.",https://rdap.identitydigital.services/rdap/
.sony,generic,Sony Corporation,https://rdap.gmoregistry.net/rdap/
.soy,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.spa,generic,Asia Spa and Wellness Promotion Council Limited,https://rdap.identitydigital.services/rdap/
.space,generic,Radix Technologies Inc.,https://rdap.centralnic.com/space/
.spiegel,generic,Not assigned,
.sport,generic,SportAccord,https://rdap.nic.sport/
.spot,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/spot/
.spreadbetting,generic,Not assigned,
.sr,country-code,Telesur,https://whois.sr/rdap/
.srl,generic,InterNetX Corp.,https://rdap.identitydigital.services/rdap/
.srt,generic,Not assigned,
.ss,country-code,National Communication Authority (NCA),https://rdap.nic.ss/
.st,country-code,Tecnisys,
.stada,generic,STADA Arzneimittel AG,https://rdap.identitydigital.services/rdap/
.staples,generic,"Staples, Inc.",https://rdap.nic.staples/
.star,generic,Star India Private Limited,https://rdap.identitydigital.services/rdap/
.starhub,generic,Not assigned,
.statebank,generic,STATE BANK OF INDIA,https://rdap.identitydigital.services/rdap/
.statefarm,generic,State Farm Mutual Automobile Insurance Company,https://rdap.nic.statefarm/
.statoil,generic,Not assigned,
.stc,generic,Saudi Telecom Company,https://rdap.centralnic.com/stc/
.stcgroup,generic,Saudi Telecom Company,https://rdap.centralnic.com/stcgroup/
.stockholm,generic,Stockholms kommun,https://rdap.identitydigital.services/rdap/
.storage,generic,XYZ.COM LLC,https://rdap.centralnic.com/storage/
.store,generic,Radix Technologies Inc.,https://rdap.centralnic.com/store/
.stream,generic,dot Stream Limited,https://rdap.nic.stream/
.studio,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.study,generic,"Registry Services, LLC",https://rdap.nic.study/
.style,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.su,country-code,Russian Institute for Development of Public Networks (ROSNIIROS),
.sucks,generic,Vox Populi Registry Ltd.,https://rdap.nic.sucks/
.supplies,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.supply,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.support,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.surf,generic,"Registry Services, LLC",https://rdap.nic.surf/
.surgery,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.suzuki,generic,SUZUKI MOTOR CORPORATION,https://rdap.gmoregistry.net/rdap/
.sv,country-code,SVNet,
