Domain,Type,TLD Manager,RDAP URLs,DNSSEC,Search
.bms,generic,Bristol-Myers Squibb Company,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft,https://rdap.centralnic.com/bmw/,Yes,Yes
.bn,country-code,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),,Yes,Yes
.bnl,generic,Not assigned,,No,Yes
.bnpparibas,generic,BNP Paribas,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,,No,Yes
.boats,generic,XYZ.COM LLC,https://rdap.centralnic.com/boats/,Yes,Yes
.boehringer,generic,Boehringer Ingelheim International GmbH,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bofa,generic,Bank of America Corporation,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,https://rdap.gtlds.nic.br/,Yes,Yes
.bond,generic,Shortdot SA,https://rdap.centralnic.com/bond/,Yes,Yes
.boo,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.book,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/book/,Yes,Yes
.booking,generic,Booking.com B.V.,https://rdap.nic.booking/,Yes,Yes
.boots,generic,Not assigned,,No,Yes
.bosch,generic,Robert Bosch GMBH,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bostik,generic,Bostik SA,https://rdap.nic.bostik/,Yes,Yes
.boston,generic,"Registry Services, LLC",https://rdap.nic.boston/,Yes,Yes
.bot,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/bot/,Yes,Yes
.boutique,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.box,generic,Intercap Registry Inc.,https://rdap.centralnic.com/box/,Yes,Yes
.bq,country-code,Not assigned,,No,Yes
.br,country-code,Comite Gestor da Internet no Brasil,https://rdap.registro.br/,Yes,Yes
.bradesco,generic,Banco Bradesco S.A.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.bridgestone,generic,Bridgestone Corporation,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.broadway,generic,"Celebrate Broadway, Inc.",https://rdap.nominet.uk/broadway/,Yes,Yes
.broker,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.brother,generic,"Brother Industries, Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.brussels,generic,DNS.be vzw,https://rdap.nic.brussels/,Yes,Yes
.bs,country-code,University of The Bahamas,,No,Yes
.bt,country-code,Ministry of Information and Communications,,Yes,Yes
.budapest,generic,Not assigned,,No,Yes
.bugatti,generic,Not assigned,,No,Yes
.build,generic,Plan Bee LLC,https://rdap.centralnic.com/build/,Yes,Yes
.builders,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.business,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.buy,generic,"Amazon Registry Services, INC",https://rdap.nominet.uk/buy/,Yes,Yes
.buzz,generic,DOTSTRATEGY CO.,https://rdap.nic.buzz/,Yes,Yes
.bv,country-code,Norid A/S,,Yes,Yes
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA),,Yes,Yes
.by,country-code,Belarusian Cloud Technologies LLC,,Yes,Yes
.bz,country-code,University of Belize,,Yes,Yes
.bzh,generic,Association www.bzh,https://rdap.nic.bzh/,Yes,Yes
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),https://rdap.ca.fury.ca/rdap/,Yes,Yes
.cab,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cafe,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cal,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.call,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/call/,Yes,Yes
.calvinklein,generic,PVH gTLD Holdings LLC,https://rdap.nic.calvinklein/,Yes,Yes
.cam,generic,CAM Connecting SARL,https://rdap.centralnic.com/cam/,Yes,Yes
.camera,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.camp,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cancerresearch,generic,Not assigned,,No,Yes
.canon,generic,Canon Inc.,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,https://rdap.nic.capetown/rdap/,Yes,Yes
.capital,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.capitalone,generic,Capital One Financial Corporation,https://rdap.nic.capitalone/,Yes,Yes
.car,generic,XYZ.COM LLC,https://rdap.centralnic.com/car/,Yes,Yes
.caravan,generic,"Caravan International, Inc.",https://rdap.nic.caravan/,Yes,Yes
.cards,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.care,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.career,generic,dotCareer LLC,https://rdap.nominet.uk/career/,Yes,Yes
.careers,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cars,generic,XYZ.COM LLC,https://rdap.centralnic.com/cars/,Yes,Yes
.cartier,generic,Not assigned,,No,Yes
.casa,generic,"Registry Services, LLC",https://rdap.nic.casa/,Yes,Yes
.case,generic,"Digity, LLC",https://rdap.centralnic.com/case/,Yes,Yes
.caseih,generic,Not assigned,,No,Yes
.cash,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.casino,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cat,sponsored,Fundacio puntCAT,https://rdap.nic.cat/,Yes,Yes
.catering,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.catholic,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),https://rdap.nic.catholic/,Yes,Yes
.cba,generic,COMMONWEALTH BANK OF AUSTRALIA,https://rdap.nic.cba/,Yes,Yes
.cbn,generic,"The Christian Broadcasting Network, Inc.",https://rdap.nic.cbn/,Yes,Yes
.cbre,generic,"CBRE, Inc.",https://rdap.nic.cbre/,Yes,Yes
.cbs,generic,Not assigned,,No,Yes
.cc,country-code,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services,https://tld-rdap.verisign.com/cc/v1/,Yes,Yes
.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT,,No,Yes
.ceb,generic,Not assigned,,No,Yes
.center,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ceo,generic,XYZ.COM LLC,https://rdap.centralnic.com/ceo/,Yes,Yes
.cern,generic,"European Organization for Nuclear Research (""CERN"")",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL),,No,Yes
.cfa,generic,CFA Institute,https://rdap.identitydigital.services/rdap/,Yes,Yes
.cfd,generic,Shortdot SA,https://rdap.centralnic.com/cfd/,Yes,Yes
.cg,country-code,Interpoint Switzerland,,No,Yes
.ch,country-code,SWITCH The Swiss Education & Research Network,,Yes,Yes
.chanel,generic,Chanel International B.V.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.channel,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.charity,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/,Yes,Yes
.chase,generic,"JPMorgan Chase Bank, National Association",https://rdap.nic.chase/,Yes,Yes
.chat,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cheap,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.chintai,generic,CHINTAI Corporation,https://rdap.nic.chintai/,Yes,Yes
.chloe,generic,Not assigned,,No,Yes
.christmas,generic,XYZ.COM LLC,https://rdap.centralnic.com/christmas/,Yes,Yes
.chrome,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.chrysler,generic,Not assigned,,No,Yes
.church,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ci,country-code,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI),,Yes,Yes
.cipriani,generic,Hotel Cipriani Srl,https://rdap.identitydigital.services/rdap/,Yes,Yes
.circle,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/circle/,Yes,Yes
.cisco,generic,"Cisco Technology, Inc.",https://rdap.nic.cisco/,Yes,Yes
.citadel,generic,Citadel Domain LLC,https://rdap.identitydigital.services/rdap/,Yes,Yes
.citi,generic,Citigroup Inc.,https://rdap.nic.citi/,Yes,Yes
.citic,generic,CITIC Group Corporation,https://rdap.zdnsgtld.com/citic/,Yes,Yes
.city,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cityeats,generic,Not assigned,,No,Yes
.ck,country-code,Telecom Cook Islands Ltd.,,No,Yes
.cl,country-code,NIC Chile (University of Chile),,Yes,Yes
.claims,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cleaning,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.click,generic,Internet Naming Co.,https://whois.uniregistry.net/rdap/,Yes,Yes
.clinic,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.clinique,generic,The Estée Lauder Companies Inc.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.clothing,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.cloud,generic,ARUBA PEC S.p.A.,https://rdap.registry.cloud/rdap/,Yes,Yes
.club,generic,"Registry Services, LLC",https://rdap.nic.club/,Yes,Yes
.clubmed,generic,Club Méditerranée S.A.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.cm,country-code,Agence Nationale des Technologies de l'Information et de la Communication (ANTIC),https://rdap.nic.cm/,Yes,Yes
.cn,country-code,China Internet Network Information Center (CNNIC),,Yes,Yes
.co,country-code,Ministry of Information and Communications Technologies (MinTIC),,Yes,Yes
.coach,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.codes,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.coffee,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.college,generic,XYZ.COM LLC,https://rdap.centralnic.com/college/,Yes,Yes
.cologne,generic,dotKoeln GmbH,https://rdap.ryce-rsp.com/rdap/,Yes,Yes
.com,generic,VeriSign Global Registry Services,https://rdap.verisign.com/com/v1/,Yes,Yes
.comcast,generic,Not assigned,,No,Yes
.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA,https://rdap.nic.commbank/,Yes,Yes
.community,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.company,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.compare,generic,"Registry Services, LLC",https://rdap.nic.compare/,Yes,Yes
