Domain,Type,TLD Manager,RDAP URLs,DNSSEC,Search
.iwc,generic,Not assigned,,No,Yes
.jaguar,generic,Jaguar Land Rover Ltd,https://rdap.identitydigital.services/rdap/,Yes,Yes
.java,generic,Oracle Corporation,https://rdap.identitydigital.services/rdap/,Yes,Yes
.jcb,generic,"JCB Co., Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.jcp,generic,Not assigned,,No,Yes
.je,country-code,Island Networks (Jersey) Ltd.,,Yes,Yes
.jeep,generic,FCA US LLC.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.jetzt,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.jewelry,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.jio,generic,Reliance Industries Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.jlc,generic,Not assigned,,No,Yes
.jll,generic,Jones Lang LaSalle Incorporated,https://rdap.identitydigital.services/rdap/,Yes,Yes
.jm,country-code,University of West Indies,,No,Yes
.jmp,generic,Matrix IP LLC,https://rdap.nic.jmp/,Yes,Yes
.jnj,generic,"Johnson & Johnson Services, Inc.",https://rdap.centralnicregistry.com/jnj/,Yes,Yes
.jo,country-code,Ministry of Digital Economy and Entrepreneurship (MoDEE),,No,Yes
.jobs,sponsored,Employ Media LLC,https://rdap.nominet.uk/jobs/,Yes,Yes
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,https://rdap.nic.joburg/rdap/,Yes,Yes
.jot,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/jot/,Yes,Yes
.joy,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/joy/,Yes,Yes
.jp,country-code,"Japan Registry Services Co., Ltd.",,Yes,Yes
.jpmorgan,generic,"JPMorgan Chase Bank, National Association",https://rdap.nic.jpmorgan/,Yes,Yes
.jprs,generic,"Japan Registry Services Co., Ltd.",https://rdap.nic.jprs/rdap/,Yes,Yes
.juegos,generic,"Dog Beach, LLC",https://whois.uniregistry.net/rdap/,Yes,Yes
.juniper,generic,"JUNIPER NETWORKS, INC.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.kaufen,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.kddi,generic,KDDI CORPORATION,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.ke,country-code,Kenya Network Information Center (KeNIC),https://rdap.kenic.or.ke/,Yes,Yes
.kerryhotels,generic,Kerry Trading Co. Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.kerrylogistics,generic,Not assigned,,No,Yes
.kerryproperties,generic,Kerry Trading Co. Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.kfh,generic,Kuwait Finance House,https://rdap.centralnic.com/kfh/,Yes,Yes
.kg,country-code,AsiaInfo Telecommunication Enterprise,http://rdap.cctld.kg/,Yes,Yes
.kh,country-code,Telecommunication Regulator of Cambodia (TRC),,No,Yes
.ki,country-code,"Ministry of Information, Communications and Transport (MICT)",,Yes,Yes
.kia,generic,KIA MOTORS CORPORATION,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.kids,generic,DotKids Foundation Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.kim,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.kinder,generic,Not assigned,,No,Yes
.kindle,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/kindle/,Yes,Yes
.kitchen,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.kiwi,generic,DOT KIWI LIMITED,https://rdap.kiwi.fury.ca/rdap/,Yes,Yes
.km,country-code,Comores Telecom,,No,Yes
.kn,country-code,"Ministry of Finance, Sustainable Development Information & Technology",,No,Yes
.koeln,generic,dotKoeln GmbH,https://rdap.ryce-rsp.com/rdap/,Yes,Yes
.komatsu,generic,Komatsu Ltd.,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.kosher,generic,Kosher Marketing Assets LLC,https://rdap.identitydigital.services/rdap/,Yes,Yes
.kp,country-code,Star Joint Venture Company,,No,Yes
.kpmg,generic,KPMG International Cooperative (KPMG International Genossenschaft),https://rdap.nic.kpmg/,Yes,Yes
.kpn,generic,Koninklijke KPN N.V.,https://rdap.centralnic.com/kpn/,Yes,Yes
.kr,country-code,Korea Internet & Security Agency (KISA),,Yes,Yes
.krd,generic,KRG Department of Information Technology,https://rdap.nic.krd/,Yes,Yes
.kred,generic,KredTLD Pty Ltd,https://rdap.centralnic.com/kred/,Yes,Yes
.kuokgroup,generic,Kerry Trading Co. Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.kw,country-code,Communications and Information Technology Regulatory Authority,,Yes,Yes
.ky,country-code,Utility Regulation and Competition Office (OfReg),https://whois.kyregistry.ky/rdap/,Yes,Yes
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.kz,country-code,Association of IT Companies of Kazakhstan,,Yes,Yes
.la,country-code,"Lao National Internet Center (LANIC), Ministry of Technology and Communications",,Yes,Yes
.lacaixa,generic,"Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona, ""la Caixa""",https://rdap.nic.lacaixa/,Yes,Yes
.ladbrokes,generic,Not assigned,,No,Yes
.lamborghini,generic,Automobili Lamborghini S.p.A.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.lamer,generic,The Estée Lauder Companies Inc.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.lancaster,generic,Not assigned,,No,Yes
.lancia,generic,Not assigned,,No,Yes
.lancome,generic,Not assigned,,No,Yes
.land,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.landrover,generic,Jaguar Land Rover Ltd,https://rdap.identitydigital.services/rdap/,Yes,Yes
.lanxess,generic,LANXESS Corporation,https://rdap.nic.lanxess/,Yes,Yes
.lasalle,generic,Jones Lang LaSalle Incorporated,https://rdap.identitydigital.services/rdap/,Yes,Yes
.lat,generic,XYZ.COM LLC,https://rdap.centralnic.com/lat/,Yes,Yes
.latino,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.latrobe,generic,La Trobe University,https://rdap.nic.latrobe/,Yes,Yes
.law,generic,"Registry Services, LLC",https://rdap.nic.law/,Yes,Yes
.lawyer,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.lb,country-code,Internet Society Lebanon,https://rdap.lbdr.org.lb/,Yes,Yes
.lc,country-code,University of Puerto Rico,,Yes,Yes
.lds,generic,"IRI Domain Management, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.lease,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,https://rdap.nic.leclerc/,Yes,Yes
.lefrak,generic,"LeFrak Organization, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.legal,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.lego,generic,LEGO Juris A/S,https://rdap.identitydigital.services/rdap/,Yes,Yes
.lexus,generic,TOYOTA MOTOR CORPORATION,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.lgbt,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.li,country-code,SWITCH The Swiss Education & Research Network,,Yes,Yes
.liaison,generic,Not assigned,,No,Yes
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,https://rdap.centralnic.com/lidl/,Yes,Yes
.life,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.lifeinsurance,generic,American Council of Life Insurers,https://rdap.nic.lifeinsurance/,Yes,Yes
.lifestyle,generic,Internet Naming Co.,https://rdap.nic.lifestyle/rdap/,Yes,Yes
.lighting,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.like,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/like/,Yes,Yes
.lilly,generic,Eli Lilly and Company,https://rdap.nic.lilly/,Yes,Yes
.limited,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.limo,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.lincoln,generic,Ford Motor Company,https://rdap.nic.lincoln/,Yes,Yes
.linde,generic,Not assigned,,No,Yes
.link,generic,Nova Registry Ltd.,https://whois.uniregistry.net/rdap/,Yes,Yes
.lipsy,generic,Not assigned,,No,Yes
.live,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.living,generic,Internet Naming Co.,https://rdap.nic.living/rdap/,Yes,Yes
.lixil,generic,Not assigned,,No,Yes
.lk,country-code,"Council for Information Technology
LK Domain Registrar",,Yes,Yes
.llc,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.llp,generic,Intercap Registry Inc.,https://rdap.centralnic.com/llp/,Yes,Yes
.loan,generic,dot Loan Limited,https://rdap.nic.loan/,Yes,Yes
.loans,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.locker,generic,Orange Domains LLC,https://rdap.nic.locker/rdap/,Yes,Yes
.locus,generic,Locus Analytics LLC,https://rdap.nominet.uk/locus/,Yes,Yes
.loft,generic,Not assigned,,No,Yes
.lol,generic,XYZ.COM LLC,https://rdap.centralnic.com/lol/,Yes,Yes
.london,generic,Dot London Domains Limited,https://rdap.centralnic.com/london/,Yes,Yes
.lotte,generic,"Lotte Holdings Co., Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.lotto,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.love,generic,Waterford Limited,https://rdap.registry.love/rdap/,Yes,Yes
.lpl,generic,"LPL Holdings, Inc.",https://rdap.centralnic.com/lpl/,Yes,Yes
.lplfinancial,generic,"LPL Holdings, Inc.",https://rdap.centralnic.com/lplfinancial/,Yes,Yes
.lr,country-code,"Data Technology Solutions, Inc.",,Yes,Yes
.ls,country-code,Lesotho Network Information Centre Proprietary (LSNIC),,Yes,Yes
.lt,country-code,Kaunas University of Technology,,Yes,Yes
.ltd,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ltda,generic,InterNetX Corp.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.lu,country-code,RESTENA,,Yes,Yes
.lundbeck,generic,H. Lundbeck A/S,https://rdap.identitydigital.services/rdap/,Yes,Yes
.lupin,generic,Not assigned,,No,Yes
.luxe,generic,"Registry Services, LLC",https://rdap.nic.luxe/,Yes,Yes
.luxury,generic,Luxury Partners LLC,https://rdap.centralnic.com/luxury/,Yes,Yes
.lv,country-code,"University of Latvia, Institute of Mathematics and Computer Science, Department of Network Solutions (DNS)",,Yes,Yes
.ly,country-code,General Post and Telecommunication Company,https://rdap.nic.ly/,Yes,Yes
.ma,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT),,Yes,Yes
.macys,generic,Not assigned,,No,Yes
.madrid,generic,Comunidad de Madrid,https://rdap.nic.madrid/,Yes,Yes
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),https://rdap.identitydigital.services/rdap/,Yes,Yes
.maison,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.makeup,generic,XYZ.COM LLC,https://rdap.centralnic.com/makeup/,Yes,Yes
.man,generic,MAN Truck & Bus SE,https://rdap.nic.man/,Yes,Yes
.management,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.mango,generic,PUNTO FA S.L.,https://rdap.nic.mango/,Yes,Yes
.map,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.market,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.marketing,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.markets,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.marriott,generic,Marriott Worldwide Corporation,https://rdap.identitydigital.services/rdap/,Yes,Yes
.marshalls,generic,"The TJX Companies, Inc.",https://rdap.nic.marshalls/,Yes,Yes
.maserati,generic,Not assigned,,No,Yes
.mattel,generic,"Mattel IT Services, Inc.",https://rdap.nic.mattel/,Yes,Yes
.mba,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.mc,country-code,Direction des Plateformes et des Ressources Numériques,,Yes,Yes
.mcd,generic,Not assigned,,No,Yes
.mcdonalds,generic,Not assigned,,No,Yes
.mckinsey,generic,"McKinsey Holdings, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.md,country-code,IP Serviciul Tehnologia Informatiei si Securitate Cibernetica,,Yes,Yes
.me,country-code,Government of Montenegro,,Yes,Yes
.med,generic,Medistry LLC,https://rdap.nominet.uk/med/,Yes,Yes
.media,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.meet,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",https://rdap.nic.melbourne/,Yes,Yes
.meme,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.memorial,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.men,generic,Exclusive Registry Limited,https://rdap.nic.men/,Yes,Yes
.menu,generic,Dot Menu Registry LLC,https://rdap.nic.menu/,Yes,Yes
.meo,generic,Not assigned,,No,Yes
.merckmsd,generic,"MSD Registry Holdings, Inc.",https://rdap.nic.merckmsd/,Yes,Yes
.metlife,generic,Not assigned,,No,Yes
.mf,country-code,Not assigned,,No,Yes
.mg,country-code,NIC-MG (Network Information Center Madagascar),http://rdap.nic.mg/,Yes,Yes
.mh,country-code,Office of the Cabinet,,No,Yes
.miami,generic,"Registry Services, LLC",https://rdap.nic.miami/,Yes,Yes
.microsoft,generic,Microsoft Corporation,https://rdap.nominet.uk/microsoft/,Yes,Yes
.mil,sponsored,DoD Network Information Center,,Yes,Yes
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,https://rdap.centralnic.com/mini/,Yes,Yes
.mint,generic,"Intuit Administrative Services, Inc.",https://rdap.nic.mint/,Yes,Yes
.mit,generic,Massachusetts Institute of Technology,https://rdap.identitydigital.services/rdap/,Yes,Yes
.mitsubishi,generic,Mitsubishi Corporation,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.mk,country-code,Macedonian Academic Research Network Skopje,,No,Yes
.ml,country-code,Agence des Technologies de l’Information et de la Communication,https://rdap.nic.ml/,No,Yes
.mlb,generic,"MLB Advanced Media DH, LLC",https://rdap.nic.mlb/,Yes,Yes
.mls,generic,The Canadian Real Estate Association,https://rdap.mls.fury.ca/rdap/,Yes,Yes
.mm,country-code,Ministry of Transport and Communications,,Yes,Yes
.mma,generic,MMA IARD,https://rdap.nic.mma/,Yes,Yes
.mn,country-code,"Datacom Co., Ltd.",,Yes,Yes
.mo,country-code,Macao Post and Telecommunications Bureau (CTT),,No,Yes
.mobi,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.mobile,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.mobily,generic,Not assigned,,No,Yes
.moda,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.moe,generic,Interlink Systems Innovation Institute K.K.,https://rdap.nic.moe/,Yes,Yes
.moi,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/moi/,Yes,Yes
.mom,generic,XYZ.COM LLC,https://rdap.centralnic.com/mom/,Yes,Yes
.monash,generic,Monash University,https://rdap.nic.monash/,Yes,Yes
.money,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.monster,generic,XYZ.COM LLC,https://rdap.centralnic.com/monster/,Yes,Yes
.montblanc,generic,Not assigned,,No,Yes
.mopar,generic,Not assigned,,No,Yes
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",https://rdap.identitydigital.services/rdap/,Yes,Yes
.mortgage,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),https://rdap.flexireg.net/,Yes,Yes
.moto,generic,"Motorola Trademark Holdings, LLC",https://rdap.nic.moto/,Yes,Yes
.motorcycles,generic,XYZ.COM LLC,https://rdap.centralnic.com/motorcycles/,Yes,Yes
.mov,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.movie,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.movistar,generic,Not assigned,,No,Yes
.mp,country-code,"Saipan Datacom, Inc.",,No,Yes
.mq,country-code,CANAL+ TELECOM,,No,Yes
.mr,country-code,Université de Nouakchott Al Aasriya,,Yes,Yes
.ms,country-code,MNI Networks Ltd.,https://rdap.nic.ms/,Yes,Yes
.msd,generic,"MSD Registry Holdings, Inc.",https://rdap.nic.msd/,Yes,Yes
.mt,country-code,NIC (Malta),,No,Yes
.mtn,generic,MTN Dubai Limited,https://rdap.nominet.uk/mtn/,Yes,Yes
.mtpc,generic,Not assigned,,No,Yes
.mtr,generic,MTR Corporation Limited,https://whois.nic.mtr/rdap/,Yes,Yes
.mu,country-code,Internet Direct Ltd,https://rdap.identitydigital.services/rdap/,Yes,Yes
.museum,sponsored,Museum Domain Management Association,https://rdap.nic.museum/,Yes,Yes
.music,generic,DotMusic Limited,https://rdap.registryservices.music/rdap/,Yes,Yes
.mutual,generic,Not assigned,,No,Yes
.mutuelle,generic,Not assigned,,No,Yes
.mv,country-code,Dhivehi Raajjeyge Gulhun PLC,,No,Yes
.mw,country-code,Malawi Sustainable Development Network Programme (Malawi SDNP),,No,Yes
.mx,country-code,"NIC-Mexico
ITESM - Campus Monterrey",,Yes,Yes
.my,country-code,MYNIC Berhad,,Yes,Yes
.mz,country-code,Centro de Informatica de Universidade Eduardo Mondlane,,No,Yes
.na,country-code,Namibian Network Information Center,https://keetmans.omadhina.co.na/,Yes,Yes
.nab,generic,National Australia Bank Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.nadex,generic,Not assigned,,No,Yes
.nagoya,generic,"GMO Registry, Inc.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.name,generic-restricted,"VeriSign Information Services, Inc.",https://tld-rdap.verisign.com/name/v1/,Yes,Yes
.nationwide,generic,Not assigned,,No,Yes
.natura,generic,Not assigned,,No,Yes
.navy,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.nba,generic,"NBA REGISTRY, LLC",https://rdap.nic.nba/,Yes,Yes
.nc,country-code,Office des Postes et Telecommunications,,Yes,Yes
.ne,country-code,SONITEL,,No,Yes
.nec,generic,NEC Corporation,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.net,generic,VeriSign Global Registry Services,https://rdap.verisign.com/net/v1/,Yes,Yes
.netbank,generic,COMMONWEALTH BANK OF AUSTRALIA,https://rdap.nic.netbank/,Yes,Yes
.netflix,generic,"Netflix, Inc.",https://rdap.nic.netflix/,Yes,Yes
.network,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.neustar,generic,"NeuStar, Inc.",https://rdap.nic.neustar/,Yes,Yes
.new,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.newholland,generic,Not assigned,,No,Yes
.news,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.next,generic,Next plc,https://rdap.identitydigital.services/rdap/,Yes,Yes
.nextdirect,generic,Next plc,https://rdap.identitydigital.services/rdap/,Yes,Yes
.nexus,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.nf,country-code,Norfolk Island Data Services,https://rdap.nic.nf/,Yes,Yes
.nfl,generic,NFL Reg Ops LLC,https://rdap.nic.nfl/,Yes,Yes
.ng,country-code,Nigeria Internet Registration Association,,No,Yes
.ngo,generic,Public Interest Registry,https://rdap.publicinterestregistry.org/rdap/,Yes,Yes
.nhk,generic,Japan Broadcasting Corporation (NHK),https://rdap.gmoregistry.net/rdap/,Yes,Yes
.ni,country-code,Universidad Nacional del Ingernieria. Division de Tecnologias de la Informacion.,,No,Yes
.nico,generic,"DWANGO Co., Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.nike,generic,"NIKE, Inc.",https://rdap.nic.nike/,Yes,Yes
.nikon,generic,NIKON CORPORATION,https://rdap.identitydigital.services/rdap/,Yes,Yes
.ninja,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.nissan,generic,"NISSAN MOTOR CO., LTD.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.nissay,generic,Nippon Life Insurance Company,https://tld-rdap.verisign.com/nissay/v1/,Yes,Yes
.nl,country-code,SIDN (Stichting Internet Domeinregistratie Nederland),https://rdap.sidn.nl/,Yes,Yes
.no,country-code,Norid A/S,https://rdap.norid.no/,Yes,Yes
.nokia,generic,Nokia Corporation,https://rdap.centralnic.com/nokia/,Yes,Yes
.northwesternmutual,generic,Not assigned,,No,Yes
.norton,generic,Gen Digital Inc.,https://rdap.nic.norton/,Yes,Yes
.now,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/now/,Yes,Yes
.nowruz,generic,Emergency Back-End Registry Operator Program - ICANN,https://rdap.nominet.uk/nowruz/,Yes,Yes
.nowtv,generic,Starbucks (HK) Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.np,country-code,Mercantile Communications Pvt. Ltd.,,No,Yes
.nr,country-code,CENPAC NET,,No,Yes
.nra,generic,"NRA Holdings Company, INC.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.nrw,generic,Minds + Machines GmbH,https://rdap.nic.nrw/,Yes,Yes
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,https://rdap.nic.ntt/rdap/,Yes,Yes
.nu,country-code,The IUSN Foundation,,Yes,Yes
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,https://rdap.nic.nyc/,Yes,Yes
.nz,country-code,InternetNZ,,Yes,Yes
.obi,generic,OBI Group Holding SE & Co. KGaA,https://rdap.identitydigital.services/rdap/,Yes,Yes
.observer,generic,"Fegistry, LLC",https://rdap.registry.click/rdap/,Yes,Yes
.off,generic,Not assigned,,No,Yes
.office,generic,Microsoft Corporation,https://rdap.nominet.uk/office/,Yes,Yes
.okinawa,generic,"BRregistry, Inc.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.olayan,generic,Competrol (Luxembourg) Sarl,https://rdap.nic.olayan/,Yes,Yes
.olayangroup,generic,Competrol (Luxembourg) Sarl,https://rdap.nic.olayangroup/,Yes,Yes
.oldnavy,generic,Not assigned,,No,Yes
.ollo,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.om,country-code,Telecommunications Regulatory Authority (TRA),,No,Yes
.omega,generic,The Swatch Group Ltd,https://rdap.nominet.uk/omega/,Yes,Yes
.one,generic,One.com A/S,https://rdap.nic.one/,Yes,Yes
.ong,generic,Public Interest Registry,https://rdap.publicinterestregistry.org/rdap/,Yes,Yes
.onl,generic,iRegistry GmbH,https://rdap.identitydigital.services/rdap/,Yes,Yes
.online,generic,Radix Technologies Inc. SEZC,https://rdap.centralnic.com/online/,Yes,Yes
.onyourside,generic,Not assigned,,No,Yes
.ooo,generic,INFIBEAM AVENUES LIMITED,https://rdap.centralnic.com/ooo/,Yes,Yes
.open,generic,"American Express Travel Related Services Company, Inc.",https://rdap.nic.open/,Yes,Yes
.oracle,generic,Oracle Corporation,https://rdap.identitydigital.services/rdap/,Yes,Yes
.orange,generic,Orange Brand Services Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.org,generic,Public Interest Registry (PIR),https://rdap.publicinterestregistry.org/rdap/,Yes,Yes
.organic,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.orientexpress,generic,Not assigned,,No,Yes
.origins,generic,The Estée Lauder Companies Inc.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.osaka,generic,"Osaka Registry Co., Ltd.",https://rdap.nic.osaka/,Yes,Yes
.otsuka,generic,"Otsuka Holdings Co., Ltd.",https://rdap.gmoregistry.net/rdap/,Yes,Yes
.ott,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.ovh,generic,OVH SAS,https://rdap.nic.ovh/,Yes,Yes
.pa,country-code,Universidad Tecnologica de Panama,,No,Yes
.page,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.pamperedchef,generic,Not assigned,,No,Yes
.panasonic,generic,Panasonic Corporation,https://rdap.gmoregistry.net/rdap/,Yes,Yes
.panerai,generic,Not assigned,,No,Yes
.paris,generic,City of Paris,https://rdap.nic.paris/,Yes,Yes
.pars,generic,Emergency Back-End Registry Operator Program - ICANN,https://rdap.nominet.uk/pars/,Yes,Yes
.partners,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.parts,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.party,generic,Blue Sky Registry Limited,https://rdap.nic.party/,Yes,Yes
.passagens,generic,Not assigned,,No,Yes
.pay,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/pay/,Yes,Yes
.pccw,generic,PCCW Enterprises Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.pe,country-code,Red Cientifica Peruana,,Yes,Yes
.pet,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.pf,country-code,Gouvernement de la Polynésie française,,No,Yes
.pfizer,generic,Pfizer Inc.,https://rdap.nic.pfizer/,Yes,Yes
.pg,country-code,"PNG DNS Administration, Vice Chancellors Office, The Papua New Guinea University of Technology",https://rdap.nic.pg/,Yes,Yes
.ph,country-code,PH Domain Foundation,,Yes,Yes
.pharmacy,generic,National Association of Boards of Pharmacy,https://rdap.nominet.uk/pharmacy/,Yes,Yes
.phd,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.philips,generic,Koninklijke Philips N.V.,https://rdap.nic.philips/,Yes,Yes
.phone,generic,Dish DBS Corporation,https://rdap.mobile-registry.com/rdap/,Yes,Yes
.photo,generic,"Registry Services, LLC",https://rdap.nic.photo/,Yes,Yes
.photography,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.photos,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.physio,generic,PhysBiz Pty Ltd,https://rdap.nic.physio/,Yes,Yes
.piaget,generic,Not assigned,,No,Yes
.pics,generic,XYZ.COM LLC,https://rdap.centralnic.com/pics/,Yes,Yes
.pictet,generic,Banque Pictet & Cie SA,https://rdap.identitydigital.services/rdap/,Yes,Yes
.pictures,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.pid,generic,"Top Level Spectrum, Inc.",https://rdap.nic.pid/rdap/,Yes,Yes
.pin,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/pin/,Yes,Yes
.ping,generic,"Ping Registry Provider, Inc.",https://rdap.nic.ping/,Yes,Yes
.pink,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
.pioneer,generic,Pioneer Corporation,https://rdap.nominet.uk/pioneer/,Yes,Yes
